Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorno,Irritec - Torre Di Mezzo Societa' Agricola Srl Milk Production -> Sensore Suolo 27,,,,,,Irritec - Torre Di Mezzo Societa' Agricola Srl Milk Production -> Sensori meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Um. suolo sup,,,Temp. suolo sup,,,Temp. Aria,,,Um. Aria,,,Pressione,,,P.to rugiada,,,B. fogliare sup,,,B. fogliare inf,,,Pioggia,Etp,ETPxKc,Radiazione solare,,,,,Vento,,
,Media,Max,Min,Media,Max,Min,Media,Max,Min,Media,Max,Min,Media,Max,Min,Media,Max,Min,Ore,Max,Min,Ore,Max,Min,Totale,Totale,Totale,Media,Totale,Ore,Max,Min,Media,Max,Dir
01/06/2025,17,"17,6","16,8",,,,"20,9","31,1","8,6","58,9",90,"25,3","1008,6","1009,9","1007,2","10,6","16,6",7,5,"89,3","1,9",3,"73,9","2,1",0,"5,6",0,"311,448","7474,746",12,"902,639","13,849",1,"3,3","193,1"
02/06/2025,"21,5","30,1","16,2",,,,"22,2","31,5","11,6","61,6",90,"31,7","1008,5","1009,5","1007,4","13,1","16,6",10,3,"89,4","1,8",0,"42,1",2,0,"5,7",0,"307,331","7375,938",12,"884,485","14,135","1,5",4,"202,1"
03/06/2025,"21,9","22,9","21,5",,,,21,30,"11,8","73,7",90,"46,9","1007,9","1009,1","1006,9","15,5",20,"10,2",10,"89,9","2,3",10,"90,5","3,2",0,5,0,"295,788","7098,915",12,"872,381","14,072","1,2","4,1","130,5"
04/06/2025,"22,3","28,8","20,8",,,,"20,9","28,8","11,6","76,4",90,"54,9","1007,2","1008,6","1005,7","16,2","20,2",10,12,"89,8","2,9",12,"90,5","3,9",0,5,0,"304,019","7296,452",12,"879,821","14,072","1,1","3,5","114,9"
05/06/2025,"23,1","23,8","21,9",,,,"23,1","33,1","12,1","66,9",90,37,"1006,3","1007,2","1005,4","15,7","20,8","10,5",7,"89,8","2,1",8,"90,4","2,5",0,"5,5",0,"304,966","7319,174",12,"879,445","14,296","1,1","3,7",151
06/06/2025,"24,4","29,2","22,3",,,,"24,5","34,8","13,2","57,3",90,29,"1006,8","1008,1","1005,4","13,9","17,6","11,4",0,"67,2","1,9",4,"89,9","2,1",0,"5,7",0,"288,384","6921,212",12,"833,504","14,26","1,1","3,2","197,6"
07/06/2025,"24,3","28,5","23,3",,,,"26,8","37,5","16,4","49,9","82,3","22,4",1006,"1007,2","1004,6","13,8","17,5","11,3",5,"29,9","1,7",5,"29,9","1,8",0,"6,2",0,"295,992","7103,803",12,"873,993","14,404","1,2",4,238
08/06/2025,23,"23,5","22,1",,,,"26,2","35,9","16,2","42,4","76,5","16,5","1004,4","1005,5","1003,7","10,1","16,5","5,1",3,"26,8","1,4",3,"26,8","1,6",0,"6,1",0,"296,332","7111,963",12,"845,624","14,386",1,"2,1",248
09/06/2025,"28,4","57,6","21,5",,,,"26,1","36,3","15,6","52,7","76,3","30,1","1004,3","1006,3","1002,6","14,7","18,3","10,5",2,"28,6","2,1",2,"28,5","1,8",0,"6,1",0,"301,609","7238,611",12,"862,499","14,368","1,2","3,9",219
